run,estimated_period,peak_phase,peak_flux,peak_prominence,pulse_width_phase,pulse_duration,baseline,noise_std,signal_amplitude,snr,success
18,1.0,0.49,0.9306478892069896,0.9404143437737615,0.0796493420664815,0.0796493420664815,0.011250189387002138,0.039991970395526745,0.9193976998199874,22.9895574218275,True
19,1.0,0.49,0.9295164648766807,0.9460716077299461,0.07881292545577995,0.07881292545577995,0.008643344971146185,0.041681164578905375,0.9208731199055346,22.09326752764446,True
20,1.0,0.49,0.9219186543156744,0.935737368737818,0.0794217981711566,0.0794217981711566,0.008216193826631552,0.04076961983455845,0.9137024604890429,22.411355911504998,True
21,1.0,0.51,0.9333948474386919,0.9434585436087092,0.07831643814886771,0.07831643814886771,0.010141040821959492,0.04227946014348342,0.9232538066167324,21.83693461277638,True
22,1.0,0.51,0.9436659487186178,0.9541371093452552,0.0779722469079743,0.0779722469079743,0.010519585914903562,0.04169031588073993,0.9331463628037142,22.382808647290883,True
23,1.0,0.49,0.9321661155272649,0.9445127267584246,0.07909255376684571,0.07909255376684571,0.009276246681147536,0.04080534870655873,0.9228898688461173,22.61688474917454,True
24,1.0,0.49,0.9365577784503439,0.945408500538148,0.07825177632195078,0.07825177632195078,0.009027870660692041,0.03998625011405607,0.9275299077896519,23.19622132968163,True
25,1.0,0.51,0.9423750928404745,0.9546660233687321,0.07826976488559864,0.07826976488559864,0.007459812185739296,0.042028362240423126,0.9349152806547352,22.24486586716263,True
26,1.0,0.49,0.9362759241126019,0.9467217966561063,0.07763680799086735,0.07763680799086735,0.008034112532699438,0.038229835631362445,0.9282418115799024,24.28055983631812,True
27,1.0,0.51,0.9328934999935,0.9407886033954342,0.07834738095044314,0.07834738095044314,0.010147420834040966,0.041571421739765795,0.922746079159459,22.19664472713455,True
28,1.0,0.49,0.9296972457312193,0.9404376320417065,0.0783022848677207,0.0783022848677207,0.010550158011166752,0.039400056192742304,0.9191470877200525,23.328573015826414,True
29,1.0,0.49,0.9337779604696088,0.9457849974073117,0.07847065697069634,0.07847065697069634,0.009654833223151126,0.04239914331143525,0.9241231272464577,21.795797156996265,True
30,1.0,0.49,0.9357668016428194,0.9429616316832842,0.07861289805502325,0.07861289805502325,0.010996636618582807,0.040834778784387286,0.9247701650242366,22.646630949248877,True
31,1.0,0.49,0.9360641493458176,0.9485122171239917,0.07828032915158124,0.07828032915158124,0.009311938321478,0.04059829890184235,0.9267522110243396,22.827365581622526,True
32,1.0,0.49,0.9335634551186722,0.9473803042047602,0.07902630607144419,0.07902630607144419,0.008846634825972248,0.04095798187931248,0.9247168202927,22.577206636242163,True
33,1.0,0.51,0.9368236388963945,0.9468123204182487,0.07851784719804843,0.07851784719804843,0.009079085762157697,0.04117899832196559,0.9277445531342369,22.529556107229592,True
34,1.0,0.51,0.9359696957239493,0.9401373036883522,0.07774264821798003,0.07774264821798003,0.012265104005270266,0.04015690139065453,0.923704591718679,23.00238712974122,True
35,1.0,0.49,0.935676120773603,0.9413052308232193,0.07757469455636191,0.07757469455636191,0.008123863148845806,0.039936621221965014,0.9275522576247571,23.225606704920903,True
36,1.0,0.49,0.9374983602643863,0.9521690047988457,0.07834781431464008,0.07834781431464008,0.009537348276854526,0.04352386120511947,0.9279610119875318,21.32074191704253,True
37,1.0,0.49,0.927048931712937,0.9389603226457728,0.07870553844975756,0.07870553844975756,0.00886167529737092,0.040984492998414085,0.9181872564155661,22.403284492285795,True
38,1.0,0.49,0.9363847235527595,0.948116902354739,0.07814754481925382,0.07814754481925382,0.009757405873018175,0.040427520048121925,0.9266273176797413,22.920706404368925,True
39,1.0,0.49,0.9442058216391555,0.951687004086785,0.07803526451090081,0.07803526451090081,0.009504192423076116,0.04138045809326706,0.9347016292160794,22.587996177068977,True
40,1.0,0.49,0.9316439214453408,0.9478555828322529,0.07927080108836965,0.07927080108836965,0.008233365053560048,0.0419950331426421,0.9234105563917807,21.988565963391085,True
41,1.0,0.51,0.9389959429525169,0.9520806180476724,0.07795687605681814,0.07795687605681814,0.010960248678320352,0.04246730607729306,0.9280356942741965,21.852944770857743,True
42,1.0,0.51,0.9341352927536203,0.9453457812999699,0.0783859357436868,0.0783859357436868,0.00780617999221772,0.04092841034407873,0.9263291127614026,22.632912076816545,True
43,1.0,0.49,0.9281874660884957,0.9393731489961555,0.07799448363546936,0.07799448363546936,0.008319930199407135,0.04182195054440403,0.9198675358890885,21.99485016636009,True
44,1.0,0.51,0.936147567166411,0.9460262765332421,0.07825121446506601,0.07825121446506601,0.010643959221744602,0.043307735474357456,0.9255036079446665,21.370399486545722,True
45,1.0,0.51,0.9342891462492975,0.9405018004016111,0.07777708638181316,0.07777708638181316,0.009909558798606739,0.04057391106709743,0.9243795874506907,22.78260988747267,True
46,1.0,0.51,0.9324653093529387,0.9410604640282306,0.07784036865827125,0.07784036865827125,0.010413919318938845,0.04177464260640454,0.9220513900339998,22.072035390498797,True
47,1.0,0.49,0.9303657396217699,0.9432125116633522,0.07919066329419697,0.07919066329419697,0.009929394245767047,0.04019819923902207,0.9204363453760029,22.897452194388276,True
48,1.0,0.49,0.9333540021246642,0.9414443330633444,0.07829351598082739,0.07829351598082739,0.011371308807640533,0.04083388311857296,0.9219826933170238,22.578863994878496,True
49,1.0,0.49,0.9376031327211121,0.9542764833291018,0.07817030366979491,0.07817030366979491,0.008507932083127582,0.041208234685317924,0.9290952006379845,22.546348023226816,True
50,1.0,0.49,0.938114534846505,0.9530690213964492,0.07810631635310433,0.07810631635310433,0.00963682245673694,0.03989252497033492,0.9284777123897681,23.27447844126706,True
